name ,runs,obj_mean,obj_sd,tott_med,babn_mean,status
q100-m03-n0040,10,33435.555556,4171.724077,899.5,1701.77777778,0.0
q100-m03-n0045,10,39353.200000,7165.960278,903.4,1116.00000000,0.0
q100-m03-n0050,10,45548.333333,4832.680195,908.3,672.50000000,0.0
q100-m03-n0100,10,,,,,0.0
q100-m04-n0005,10,7076.600000,1401.926310,0.0,11.60000000,1.0
q100-m04-n0010,10,10959.700000,1138.729511,1.1,8616.90000000,1.0
q100-m04-n0015,10,13555.700000,1126.678407,896.0,65798.50000000,0.3
q100-m04-n0020,10,19657.600000,1026.012800,897.2,23131.80000000,0.0
q100-m04-n0025,10,26234.000000,640.638744,898.0,8198.00000000,0.0
q100-m04-n0030,10,39732.833333,6426.429846,898.4,3114.66666667,0.0
q100-m04-n0035,10,44956.285714,6905.619372,899.3,2319.00000000,0.0
q100-m04-n0040,10,50128.428571,8261.843435,901.5,990.71428571,0.0
q100-m04-n0045,10,,,,,0.0
q100-m04-n0050,10,51259.000000,,911.5,910.00000000,0.0
q100-m04-n0100,10,,,,,0.0
q100-m05-n0005,10,9505.400000,1947.256828,0.0,1.00000000,1.0
q100-m05-n0010,10,14002.600000,1615.167016,4.8,29689.40000000,0.9
q100-m05-n0015,10,18892.800000,1504.140788,897.0,72506.00000000,0.1
q100-m05-n0020,10,27629.875000,2740.890128,896.8,11447.62500000,0.0
q100-m05-n0025,10,,,,,0.0
q100-m05-n0030,10,52534.500000,10852.608100,898.9,2439.50000000,0.0
q100-m05-n0035,10,60444.000000,7927.323098,900.1,1507.20000000,0.0
q100-m05-n0040,10,71860.000000,3403.804636,903.9,798.75000000,0.0
q100-m05-n0045,10,,,,,0.0
q100-m05-n0050,10,93979.000000,,934.6,510.00000000,0.0
q100-m05-n0100,10,,,,,0.0
